Sub Pekerjaan,Nilai
PEKERJAAN PERSIAPAN, 0, 0
Pembuatan Papan Nama Kegiatan, 1065199.57, 0.00494656835854768
Pembuatan Direksi Keet (Lantai Plester), 43401347.25, 0.201546956149438
Pembuatan Gudang Semen dan Alat-alat, 46341066.8, 0.215198410880155
Perlengkapan Direksi Keet, 15941595.32, 0.0740294994624188
Pagar Sementara, 35182101, 0.163378462116567
Pekerjaan Bongkaran dan Perataan Tanah, 11589594.66, 0.0538197008787275
K3 Proyek, 51842000, 0.240743616563635
Dukumentasi dan Pelaporan, 29120700, 0.135230558907153
PEKERJAAN LANDSCAPE, 0, 0
Kanstin, 360280656.0347, 1.67306948249899
Pengecatan Kanstin, 19693408.9491, 0.0914521525572506
Taman, 95356250, 0.442814869930676
Beton Jalan t = 20 cm, 2750925507.665, 12.7747339148263
Saluran U ditc + Penutup Uk 60.60.120 cm, 1324155882.798, 6.14910837002436
Saluran U ditc Uk 60.60.120 cm, 101573650.86, 0.471687204498444
Dinding Pembatas Area Luar , 1026962341.9957, 4.76900251314967
Dinding Pembatas Area Jalur Bus dan Kendaraan Pribadi , 635469358.3175, 2.95098938190516
Bak Kontrol, 33185097.123, 0.154104785644969
PEKERJAAN BANGUNAN UTAMA LT 1, 0, 0
RUANG GENSET  (4 x 9)m2, 174806487.915, 0.811765481645083
Genset Silent 60 KVA setara Perkins, 306348000, 1.422617288049
SDP 2, 23990400, 0.111406497797312
SDP 3, 27700092, 0.128633546684646
Line Power, 67848273.16, 0.315073466651283
Signage, 314480098.24, 1.46038108459521
Fire Safety, 20941620, 0.0972485887022365
Pintu Akses Ruang Keberangkatan  , 6040001.92, 0.0280485302702847
AC, 227273422.22, 1.05541116496348
Pekerjaan penutup kanopi, 385400073.3, 1.78971890494448
Sanitari, 13994400, 0.0649871237150984
Pekerjaan Shelter, 51554446.9887, 0.239408279348749
PEKERJAAN BANGUNAN UTAMA LT 2, 0, 0
Pekerjaan Kolom + Balok , 3604027521.2748, 16.7363647171515
Pekerjaan Dinding, 512039829.8673, 2.37780796394587
Pekerjaan Lantai, 707796123.975, 3.28686004929332
Pekerjaan Plafond, 357987245.143, 1.66241935263644
Pekerjaan Kusen daun Pintu, 429049163.1555, 1.99241632694834
Pekerjaan Sanitair, 554006933.2832, 2.5726945858556
Elektrikal, 318945175.52, 1.48111598781313
Line Power, 41070961.08, 0.190725120677124
Signage, 65278386, 0.303139437696789
Fire Safety, 20941620, 0.0972485887022365
Pekerjaan Railing Kaca, 100866923.12, 0.468405305805233
PEKERJAAN PENERANGAN JALAN, 0, 0
PEKERJAAN LAMPU HIGH MASK , 155826230.452, 0.72362505834059
PEKERJAAN LPJU , 180187104.9, 0.836751963499808
PEKERJAAN PEMINDAHAN HIGH MASK EXISTING, 43229110.3808, 0.200747123450144
FASILITAS PENUNJANG , 0, 0
Fasilitas Penunjang  , 6240396587.9323, 28.9791220124646
