Sub Pekerjaan,Nilai,Bobot
PEKERJAAN PERSIAPAN LANTAI 1,15643070,2.344289599
RENCANA KESELATAMAN KONTRUKSI (RKK) LANTAI 1,11954000,1.791441058
PEKERJAAN TANAH LANTAI 1,35816988.93,5.36757776
PEKERJAAN PONDASI LANTAI 1,93291368.47,13.98075856
PEKERJAAN BETON BERTULANG LANTAI 1,116897195.1,17.5183566
"PEKERJAAN PASANGAN, PLESTERAN & ACIAN LANTAI 1",88109498.11,13.20419713
PEKERJAAN INSTALASI LISTRIK LANTAI 1,45450692,6.811296282
PEKERJAAN KERAMIK LANTAI & DINDING LANTAI 1,75117828.99,11.25724971
PEKERJAAN SANITAIR LANTAI 1,32414241.16,4.857637818
PEKERJAAN KUSEN PINTU & JENDELA LANTAI 1,81860494.44,12.2677138
PEKERJAAN RAILLING TANGGA LANTAI 1,7443100.28,1.11543211
PEKERJAAN PLAFON LANTAI 1,25765705.31,3.861280105
PEKERJAAN PENGECATAN LANTAI 1,37519842.4,5.622769463
