Sub Pekerjaan,Nilai
A. PEKERJAAN PERSIAPAN, 679352004.42, 1.468
B. PEKERJAAN STRUKTUR, 0, 0
PEKERJAAN TANAH, 139584864, 0.302
PONDASI PANCANG, 7310813285, 15.799
BETON PILE CAP, 1914843599.51, 4.138
STRUKTUR LANTAI 1, 6526211306.71, 14.104
STRUKTUR LANTAI 2, 5342697026.1, 11.546
STRUKTUR ATAP, 1964563092.66, 4.246
PEKERJAAN BAJA, 2214450383.05, 4.786
C. PEKERJAAN ARSITEKTUR, 0, 0
PEK. TANAH, 334408816.5, 0.723
PASANGAN DAN BETON PRAKTIS LT. 1, 1188516304.07, 2.569
KUSEN PINTU JENDELA LT. 1, 281691794.26, 0.609
PENUTUP DINDING DAN LANTAI LT. 1, 1380762199.17, 2.984
PENGECATAN LT. 1, 218167236.31, 0.471
PLAFOND LANTAI 1, 399768720.45, 0.864
FIXTURES LAVATORY LT. 1, 152338867.5, 0.329
AREA KEDATANGAN, 94523369.5, 0.204
PASANGAN DAN BETON PRAKTIS LT. 2, 1532131083.89, 3.311
KUSEN PINTU JENDELA LT. 2, 63337530.09, 0.137
PENUTUP DINDING DAN LANTAI LT. 2, 900696387.48, 1.946
PENGECATAN LT. 2, 250938252.45, 0.542
PLAFOND LANTAI 2, 345524355.83, 0.747
FIXTURES LAVATORY LT. 2, 84146262.5, 0.182
FASADE, 5596850692.4, 12.095
PEKERJAAN ATAP, 352677016.45, 0.762
D. PEKERJAAN ELEKTRIKAL, 5240680518.95, 11.326
E. PEKERJAAN PLUMBING, 1530785112.6, 3.308
F. PEKERJAAN FURNITURE & MEUBELAIR, 232291970, 0.502
