Sub Pekerjaan,Nilai
PEKERJAAN PERSIAPAN, 384550506.21, 2.669
PERKERASAN JALAN LINGKUNGAN, 1002858367.49, 6.961
GATE ENTRANCE, 1338253387.44, 9.288
PEMBANGUNAN SELASAR PEDESTRIAN, 1850007340.39, 12.84
PEMBANGUNAN KANOPI PARKIR VIP DAN FOOD COURT OUT DOOR, 912559185.38, 6.334
FINISH LISTPLANK & PAGAR LANTAI 02, 414354319.38, 2.876
PENGADAAN DAN PEMASANGAN ESKALATOR, 1366512042.08, 9.484
PEKERJAAN BANGUNAN UNTUK ESKALATOR, 328468355.31, 2.281
PEMBANGUNAN RUMAH GENSET DAN PENGADAAN GENSET, 137360069.63, 0.953
PENGADAAN DAN INSTALASI GENSET, 1288876342.96, 8.945
PEKERJAAN FASILITAS KESELAMATAN, 515298787.5, 3.576
PEKERJAAN LANDSCAPE - VOID, 969555463.82, 6.729
